artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
Banda Carina,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carina,Brasil
Banda Caruá,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carua,Brasil
Banda Caruá,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carua,Brasil
Banda Caruá,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carua,Brasil
Gabriel Brasil,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gabriel-brasil,Brasil
Gabriel Brasil,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gabriel-brasil,Brasil
B Fachada,Pop Music,19,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/832/83118,146042.jpg",https://www.cifras.com.br/b-fachada,Brasil
A.P. Carter,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/ap-carter,desconhecido
A.P. Carter,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/ap-carter,desconhecido
A Rainha Dos Paredões,Funk,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/a-rainha-dos-paredoes,Brasil
A,Não Informada,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/52/5173,75902.jpg",https://www.cifras.com.br/a,desconhecido
A1,Pop Music,26,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/37/3636,5215.jpg",https://www.cifras.com.br/a1,Noruega
Baião de Quatro,Reggae,6,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/baiao-de-quatro,Brasil
B Praak,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/b-praak,desconhecido
Earth,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/earth,desconhecido
Eddie,Não Informada,9,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/371/37021,123921.jpg",https://www.cifras.com.br/eddie,Brasil
A Static Lullaby,Rock'n Roll,24,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/61/6098,186842.jpg",https://www.cifras.com.br/a-static-lullaby,USA
A 100 Destino,Não Informada,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/717/71603,20059.jpg",https://www.cifras.com.br/a-100-destino,Brasil
Fabienne Delsol,Pop Music,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabienne-delsol,França
A Static Lullaby,Rock'n Roll,24,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/61/6098,186842.jpg",https://www.cifras.com.br/a-static-lullaby,USA
Fabienne Delsol,Pop Music,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabienne-delsol,França
Echos,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/echos,desconhecido
A 100 Destino,Não Informada,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/717/71603,20059.jpg",https://www.cifras.com.br/a-100-destino,Brasil
E.O.J,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eoj,Brasil
Dan Caplen,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dan-caplen,desconhecido
Bakermat,Pop Music,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/bakermat,USA
D'black e Negra Li,Romântica,1,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/720/71972,60480.jpg",https://www.cifras.com.br/dblack-e-negra-li,Brasil
E.O.J,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eoj,Brasil
D'black e Negra Li,Romântica,1,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/720/71972,60480.jpg",https://www.cifras.com.br/dblack-e-negra-li,Brasil
Bakermat,Pop Music,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/bakermat,USA
Fabio Pilz,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabio-pilz,Brasil
,Não Informada,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dan-luiten,desconhecido
Family Guy,Não Informada,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/81/8085,7393.jpg",https://www.cifras.com.br/family-guy,desconhecido
Banda Blecautte e Wilson Borlin Junior,Pop Music,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-blecautte-e-wilson-borlin-junior,Africa do Sul
Dallas Holm,Gospel,6,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/581/58000,36341.jpg",https://www.cifras.com.br/dallas-holm,USA
Fabio Pilz,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabio-pilz,Brasil
A Familia,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/a-familia,Brasil
B. Robson Rodovalho,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/b-robson-rodovalho,Brasil
Dan Santos,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dan-santos,Brasil
B. Robson Rodovalho,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/b-robson-rodovalho,Brasil
