artista,artista_link,bandeira
"A","https://www.cifras.com.br/a","https://www.e-chords.com/t/f68.gif"
"A 100 Destino","https://www.cifras.com.br/a-100-destino","https://www.e-chords.com/t/f1.gif"
"A Balladeer","https://www.cifras.com.br/a-balladeer","https://www.e-chords.com/t/f53.gif"
"A Banca","https://www.cifras.com.br/a-banca","https://www.e-chords.com/t/f1.gif"
"A Banca 021","https://www.cifras.com.br/a-banca-021","https://www.e-chords.com/t/f1.gif"
"A Band Of Buriers","https://www.cifras.com.br/a-band-of-buriers","https://www.e-chords.com/t/f25.gif"
"A Banda da Casa Amarela","https://www.cifras.com.br/a-banda-da-casa-amarela","https://www.e-chords.com/t/f68.gif"
"A Banda da Zefinha","https://www.cifras.com.br/a-banda-da-zefinha","https://www.e-chords.com/t/f1.gif"
"A Banda Delas","https://www.cifras.com.br/a-banda-delas","https://www.e-chords.com/t/f1.gif"
"A Banda Inteira","https://www.cifras.com.br/a-banda-inteira","https://www.e-chords.com/t/f1.gif"
"A Banda Mais Bonita da Cidade","https://www.cifras.com.br/a-banda-mais-bonita-da-cidade","https://www.e-chords.com/t/f1.gif"
"A Barca","https://www.cifras.com.br/a-barca","https://www.e-chords.com/t/f1.gif"
"A Barca do Sol","https://www.cifras.com.br/a-barca-do-sol","https://www.e-chords.com/t/f1.gif"
"A Base","https://www.cifras.com.br/a-base","https://www.e-chords.com/t/f1.gif"
"A Beautiful Tragedy","https://www.cifras.com.br/a-beautiful-tragedy","https://www.e-chords.com/t/f10.gif"
"A Billion Ernies","https://www.cifras.com.br/a-billion-ernies","https://www.e-chords.com/t/f68.gif"
"A Bird A Sparrow","https://www.cifras.com.br/a-bird-a-sparrow","https://www.e-chords.com/t/f68.gif"
"A Boy And His Kite","https://www.cifras.com.br/a-boy-and-his-kite","https://www.e-chords.com/t/f25.gif"
"A Brand","https://www.cifras.com.br/a-brand","https://www.e-chords.com/t/f47.gif"
"A Bronkka","https://www.cifras.com.br/a-bronkka","https://www.e-chords.com/t/f1.gif"
"A Cabana Sounds","https://www.cifras.com.br/a-cabana-sounds","https://www.e-chords.com/t/f1.gif"
"A Cámara Lenta","https://www.cifras.com.br/a-camara-lenta","https://www.e-chords.com/t/f68.gif"
"A Caminho da Luz","https://www.cifras.com.br/a-caminho-da-luz","https://www.e-chords.com/t/f1.gif"
"A Camp","https://www.cifras.com.br/a-camp","https://www.e-chords.com/t/f68.gif"
"A Canção da Rosa Atômica","https://www.cifras.com.br/a-cancao-da-rosa-atomica","https://www.e-chords.com/t/f1.gif"
"A Caravana Do Delirio","https://www.cifras.com.br/a-caravana-do-delirio","https://www.e-chords.com/t/f1.gif"
"A Casa da Cidade","https://www.cifras.com.br/a-casa-da-cidade","https://www.e-chords.com/t/f1.gif"
"A casa do Engenho","https://www.cifras.com.br/a-casa-do-engenho","https://www.e-chords.com/t/f1.gif"
"A cause des garçons","https://www.cifras.com.br/a-cause-des-garcons","https://www.e-chords.com/t/f5.gif"
"A Change Of Pace","https://www.cifras.com.br/a-change-of-pace","https://www.e-chords.com/t/f10.gif"
"A Colina","https://www.cifras.com.br/a-colina","https://www.e-chords.com/t/f1.gif"
"A Cor do Batuque","https://www.cifras.com.br/a-cor-do-batuque","https://www.e-chords.com/t/f1.gif"
"A Cor do Reggae","https://www.cifras.com.br/a-cor-do-reggae","https://www.e-chords.com/t/f1.gif"
"A Cor do Sol","https://www.cifras.com.br/a-cor-do-sol","https://www.e-chords.com/t/f1.gif"
"A Cor do Som","https://www.cifras.com.br/a-cor-do-som","https://www.e-chords.com/t/f1.gif"
"A Cordabamba","https://www.cifras.com.br/a-cordabamba","https://www.e-chords.com/t/f1.gif"
"A Crise","https://www.cifras.com.br/a-crise","https://www.e-chords.com/t/f1.gif"
"A Cruviana","https://www.cifras.com.br/a-cruviana","https://www.e-chords.com/t/f1.gif"
"A Curva da Cintura","https://www.cifras.com.br/a-curva-da-cintura","https://www.e-chords.com/t/f1.gif"
"A Day At The Fair","https://www.cifras.com.br/a-day-at-the-fair","https://www.e-chords.com/t/f68.gif"
"A Day At The Races","https://www.cifras.com.br/a-day-at-the-races","https://www.e-chords.com/t/f68.gif"
"A Day To Remeber","https://www.cifras.com.br/a-day-to-remeber","https://www.e-chords.com/t/f68.gif"
"A Day to Remember","https://www.cifras.com.br/a-day-to-remember","https://www.e-chords.com/t/f10.gif"
"A Dos Velas","https://www.cifras.com.br/a-dos-velas","https://www.e-chords.com/t/f27.gif"
"A Dozen Furies","https://www.cifras.com.br/a-dozen-furies","https://www.e-chords.com/t/f10.gif"
"A Esmo","https://www.cifras.com.br/a-esmo","https://www.e-chords.com/t/f1.gif"
"A Espetacular Charanga do França","https://www.cifras.com.br/a-espetacular-charanga-do-franca","https://www.e-chords.com/t/f1.gif"
"A Euterpia","https://www.cifras.com.br/a-euterpia","https://www.e-chords.com/t/f1.gif"
"A Fabulosa Banda Do Curinga","https://www.cifras.com.br/a-fabulosa-banda-do-curinga","https://www.e-chords.com/t/f1.gif"
"A Familia","https://www.cifras.com.br/a-familia","https://www.e-chords.com/t/f1.gif"
"A Fantástica Fábrica de Chocolates","https://www.cifras.com.br/a-fantastica-fabrica-de-chocolates","https://www.e-chords.com/t/f68.gif"
"A Farsa","https://www.cifras.com.br/a-farsa","https://www.e-chords.com/t/f1.gif"
"A Fine Frenzy","https://www.cifras.com.br/a-fine-frenzy","https://www.e-chords.com/t/f10.gif"
"A Firm Handshake","https://www.cifras.com.br/a-firm-handshake","https://www.e-chords.com/t/f25.gif"
"A Flock Of Seagulls","https://www.cifras.com.br/a-flock-of-seagulls","https://www.e-chords.com/t/f2.gif"
"A Foot In Cold Water","https://www.cifras.com.br/a-foot-in-cold-water","https://www.e-chords.com/t/f14.gif"
"A Friend In London","https://www.cifras.com.br/a-friend-in-london","https://www.e-chords.com/t/f30.gif"
"A Fúria do Açúcar","https://www.cifras.com.br/a-furia-do-acucar","https://www.e-chords.com/t/f11.gif"
"A Future Corrupt","https://www.cifras.com.br/a-future-corrupt","https://www.e-chords.com/t/f10.gif"
"A Galera","https://www.cifras.com.br/a-galera","https://www.e-chords.com/t/f1.gif"
"A Garota Não","https://www.cifras.com.br/a-garota-nao","https://www.e-chords.com/t/f1.gif"
"A Gatalógica","https://www.cifras.com.br/a-gatalogica","https://www.e-chords.com/t/f1.gif"
"A Giant Dog","https://www.cifras.com.br/a-giant-dog","https://www.e-chords.com/t/f68.gif"
"A Global Threat","https://www.cifras.com.br/a-global-threat","https://www.e-chords.com/t/f10.gif"
"A Gota Suspensa","https://www.cifras.com.br/a-gota-suspensa","https://www.e-chords.com/t/f68.gif"
"A Graça de um Deus","https://www.cifras.com.br/a-graca-de-um-deus","https://www.e-chords.com/t/f1.gif"
"A Great Big Pile Of Leaves","https://www.cifras.com.br/a-great-big-pile-of-leaves","https://www.e-chords.com/t/f10.gif"
"A Great Big World","https://www.cifras.com.br/a-great-big-world","https://www.e-chords.com/t/f10.gif"
"A Guarda do Leão","https://www.cifras.com.br/a-guarda-do-leao","https://www.e-chords.com/t/f1.gif"
"A Gurls Wurld","https://www.cifras.com.br/a-gurls-wurld","https://www.e-chords.com/t/f68.gif"
"A Heartwell Ending","https://www.cifras.com.br/a-heartwell-ending","https://www.e-chords.com/t/f68.gif"
"A Hero A Fake","https://www.cifras.com.br/a-hero-a-fake","https://www.e-chords.com/t/f68.gif"
"A Incrível Banda do Dutra","https://www.cifras.com.br/a-incrivel-banda-do-dutra","https://www.e-chords.com/t/f1.gif"
"A Kavalarya","https://www.cifras.com.br/a-kavalarya","https://www.e-chords.com/t/f1.gif"
"A Kombi Que Pega Crianças","https://www.cifras.com.br/a-kombi-que-pega-criancas","https://www.e-chords.com/t/f1.gif"
"A Legião","https://www.cifras.com.br/a-legiao","https://www.e-chords.com/t/f1.gif"
"A Life Once Lost","https://www.cifras.com.br/a-life-once-lost","https://www.e-chords.com/t/f10.gif"
"A Liga","https://www.cifras.com.br/a-liga","https://www.e-chords.com/t/f1.gif"
"A Lion Named Roar","https://www.cifras.com.br/a-lion-named-roar","https://www.e-chords.com/t/f68.gif"
"A lo Perro","https://www.cifras.com.br/a-lo-perro","https://www.e-chords.com/t/f68.gif"
"A los Cuatro Vientos","https://www.cifras.com.br/a-los-cuatro-vientos","https://www.e-chords.com/t/f1.gif"
"A Loss For Words","https://www.cifras.com.br/a-loss-for-words","https://www.e-chords.com/t/f10.gif"
"A Lot Like Birds","https://www.cifras.com.br/a-lot-like-birds","https://www.e-chords.com/t/f68.gif"
"A Love Like Pi","https://www.cifras.com.br/a-love-like-pi","https://www.e-chords.com/t/f68.gif"
"A Manera de café","https://www.cifras.com.br/a-manera-de-cafe","https://www.e-chords.com/t/f68.gif"
"A Mensagem da Hora","https://www.cifras.com.br/a-mensagem-da-hora","https://www.e-chords.com/t/f1.gif"
"A Nova Banda da Cidade","https://www.cifras.com.br/a-nova-banda-da-cidade","https://www.e-chords.com/t/f1.gif"
"A Nova Ordem","https://www.cifras.com.br/a-nova-ordem","https://www.e-chords.com/t/f1.gif"
"A Noviça Rebelde","https://www.cifras.com.br/a-novica-rebelde","https://www.e-chords.com/t/f1.gif"
"A Onda Dura","https://www.cifras.com.br/a-onda-dura","https://www.e-chords.com/t/f1.gif"
"A Outra Banda da Lua","https://www.cifras.com.br/a-outra-banda-da-lua","https://www.e-chords.com/t/f1.gif"
"A Paixão de Cristo","https://www.cifras.com.br/a-paixao-de-cristo","https://www.e-chords.com/t/f1.gif"
"A Pale Horse Named Death","https://www.cifras.com.br/a-pale-horse-named-death","https://www.e-chords.com/t/f68.gif"
"A Palo Seko","https://www.cifras.com.br/a-palo-seko","https://www.e-chords.com/t/f3.gif"
"A Partir de Hoje","https://www.cifras.com.br/a-partir-de-hoje","https://www.e-chords.com/t/f1.gif"
"A Perfect Circle","https://www.cifras.com.br/a-perfect-circle","https://www.e-chords.com/t/f10.gif"
"A Pie","https://www.cifras.com.br/a-pie","https://www.e-chords.com/t/f42.gif"
"A Piko y Pala","https://www.cifras.com.br/a-piko-y-pala","https://www.e-chords.com/t/f18.gif"
"A Place To Bury Strangers","https://www.cifras.com.br/a-place-to-bury-strangers","https://www.e-chords.com/t/f10.gif"
"A Plastic Rose","https://www.cifras.com.br/a-plastic-rose","https://www.e-chords.com/t/f68.gif"
"A Plea For Purging","https://www.cifras.com.br/a-plea-for-purging","https://www.e-chords.com/t/f10.gif"
"A Plus Dropouts","https://www.cifras.com.br/a-plus-dropouts","https://www.e-chords.com/t/f68.gif"
"A Ponte","https://www.cifras.com.br/a-ponte","https://www.e-chords.com/t/f1.gif"
"A Prosa","https://www.cifras.com.br/a-prosa","https://www.e-chords.com/t/f1.gif"
"A Quatro Vozes","https://www.cifras.com.br/a-quatro-vozes","https://www.e-chords.com/t/f1.gif"
"A Rainha Dos Paredões","https://www.cifras.com.br/a-rainha-dos-paredoes","https://www.e-chords.com/t/f1.gif"
"A Répública","https://www.cifras.com.br/a-republica","https://www.e-chords.com/t/f1.gif"
"A Rocket To The Moon","https://www.cifras.com.br/a-rocket-to-the-moon","https://www.e-chords.com/t/f10.gif"
"A Rosa dí Zínco","https://www.cifras.com.br/a-rosa-di-zinco","https://www.e-chords.com/t/f1.gif"
"A Sete","https://www.cifras.com.br/a-sete","https://www.e-chords.com/t/f1.gif"
"A Sétima Lua","https://www.cifras.com.br/a-setima-lua","https://www.e-chords.com/t/f1.gif"
"A Silent Film","https://www.cifras.com.br/a-silent-film","https://www.e-chords.com/t/f2.gif"
"A Skylit Drive","https://www.cifras.com.br/a-skylit-drive","https://www.e-chords.com/t/f10.gif"
"A Stained Glass Romance","https://www.cifras.com.br/a-stained-glass-romance","https://www.e-chords.com/t/f10.gif"
"A Static Lullaby","https://www.cifras.com.br/a-static-lullaby","https://www.e-chords.com/t/f10.gif"
"A Step Behind","https://www.cifras.com.br/a-step-behind","https://www.e-chords.com/t/f68.gif"
"A Taste Of Honey","https://www.cifras.com.br/a-taste-of-honey","https://www.e-chords.com/t/f10.gif"
"A Teorema","https://www.cifras.com.br/a-teorema","https://www.e-chords.com/t/f1.gif"
"A Thorn For Every Heart","https://www.cifras.com.br/a-thorn-for-every-heart","https://www.e-chords.com/t/f10.gif"
"A Thousand Horses","https://www.cifras.com.br/a-thousand-horses","https://www.e-chords.com/t/f10.gif"
"A Torre","https://www.cifras.com.br/a-torre","https://www.e-chords.com/t/f1.gif"
"A Toys Orchestra","https://www.cifras.com.br/a-toys-orchestra","https://www.e-chords.com/t/f68.gif"
"A Tribe Called Quest","https://www.cifras.com.br/a-tribe-called-quest","https://www.e-chords.com/t/f10.gif"
"A Troça Harmônica","https://www.cifras.com.br/a-troca-harmonica","https://www.e-chords.com/t/f1.gif"
"A Tropa","https://www.cifras.com.br/a-tropa","https://www.e-chords.com/t/f1.gif"
"A Trupe Poligodélica","https://www.cifras.com.br/a-trupe-poligodelica","https://www.e-chords.com/t/f1.gif"
"A Turma da Tibatinha","https://www.cifras.com.br/a-turma-da-tibatinha","https://www.e-chords.com/t/f1.gif"
"A Turma do Seu Lobato","https://www.cifras.com.br/a-turma-do-seu-lobato","https://www.e-chords.com/t/f68.gif"
"A Última Banda","https://www.cifras.com.br/a-ultima-banda","https://www.e-chords.com/t/f1.gif"
"A Última Batalha","https://www.cifras.com.br/a-ultima-batalha","https://www.e-chords.com/t/f68.gif"
"A Última Theoria","https://www.cifras.com.br/a-ultima-theoria","https://www.e-chords.com/t/f1.gif"
"A Unidade","https://www.cifras.com.br/a-unidade","https://www.e-chords.com/t/f1.gif"
"A Vacant Affair","https://www.cifras.com.br/a-vacant-affair","https://www.e-chords.com/t/f68.gif"
"A Velha Cabra","https://www.cifras.com.br/a-velha-cabra","https://www.e-chords.com/t/f1.gif"
"A Verbal Equinox","https://www.cifras.com.br/a-verbal-equinox","https://www.e-chords.com/t/f68.gif"
"A Very Potter Musical","https://www.cifras.com.br/a-very-potter-musical","https://www.e-chords.com/t/f68.gif"
"A Vibe","https://www.cifras.com.br/a-vibe","https://www.e-chords.com/t/f1.gif"
"A Vigília","https://www.cifras.com.br/a-vigilia","https://www.e-chords.com/t/f1.gif"
"A Voz da Verdade","https://www.cifras.com.br/a-voz-da-verdade","https://www.e-chords.com/t/f1.gif"
"A Voz Profética","https://www.cifras.com.br/a-voz-profetica","https://www.e-chords.com/t/f1.gif"
"A Week Away","https://www.cifras.com.br/a-week-away","https://www.e-chords.com/t/f68.gif"
"A Wilhelm Scream","https://www.cifras.com.br/a-wilhelm-scream","https://www.e-chords.com/t/f10.gif"
"A World Without Weakness","https://www.cifras.com.br/a-world-without-weakness","https://www.e-chords.com/t/f68.gif"
"A World Witout Weakness","https://www.cifras.com.br/a-world-witout-weakness","https://www.e-chords.com/t/f68.gif"
"A Zorra","https://www.cifras.com.br/a-zorra","https://www.e-chords.com/t/f1.gif"
"A$AP Rocky","https://www.cifras.com.br/a$ap-rocky","https://www.e-chords.com/t/f68.gif"
"A'Nônima","https://www.cifras.com.br/anonima","https://www.e-chords.com/t/f1.gif"
"A-Ha","https://www.cifras.com.br/a-ha","https://www.e-chords.com/t/f20.gif"
"A-Noma","https://www.cifras.com.br/a-noma","https://www.e-chords.com/t/f1.gif"
"A-ok","https://www.cifras.com.br/a-ok","https://www.e-chords.com/t/f1.gif"
"A-six","https://www.cifras.com.br/a-six","https://www.e-chords.com/t/f1.gif"
"A-Teens","https://www.cifras.com.br/a-teens","https://www.e-chords.com/t/f15.gif"
"A. A. Bondy","https://www.cifras.com.br/a-a-bondy","https://www.e-chords.com/t/f10.gif"
"A. Aallon Rytmiorkesteri","https://www.cifras.com.br/a-aallon-rytmiorkesteri","https://www.e-chords.com/t/f68.gif"
"A. C. Newman","https://www.cifras.com.br/a-c-newman","https://www.e-chords.com/t/f14.gif"
"A. Carlos Gomes","https://www.cifras.com.br/a-carlos-gomes","https://www.e-chords.com/t/f1.gif"
"A. Cartageno","https://www.cifras.com.br/a-cartageno","https://www.e-chords.com/t/f1.gif"
"A. Cinco","https://www.cifras.com.br/a-cinco","https://www.e-chords.com/t/f40.gif"
"A. L. Webber e C. Hart","https://www.cifras.com.br/a-l-webber-e-c-hart","https://www.e-chords.com/t/f4.gif"
"A. North / H. Zaret","https://www.cifras.com.br/a-north-h-zaret","https://www.e-chords.com/t/f2.gif"
"A. R. Rahman","https://www.cifras.com.br/a-r-rahman","https://www.e-chords.com/t/f46.gif"
"A.B. Quintanilla's All Starz","https://www.cifras.com.br/ab-quintanillas-all-starz","https://www.e-chords.com/t/f68.gif"
"A.Bilk e R.Melin","https://www.cifras.com.br/abilk-e-rmelin","https://www.e-chords.com/t/f10.gif"
"A.C. Newman","https://www.cifras.com.br/ac-newman","https://www.e-chords.com/t/f14.gif"
"A.C.A.B","https://www.cifras.com.br/acab","https://www.e-chords.com/t/f68.gif"
"A.CHAL","https://www.cifras.com.br/achal","https://www.e-chords.com/t/f68.gif"
"A.D.N.","https://www.cifras.com.br/adn-","https://www.e-chords.com/t/f27.gif"
"A.J. Roach","https://www.cifras.com.br/aj-roach","https://www.e-chords.com/t/f1.gif"
"A.luke","https://www.cifras.com.br/aluke","https://www.e-chords.com/t/f1.gif"
"A.n.i.m.a.l.","https://www.cifras.com.br/animal-","https://www.e-chords.com/t/f27.gif"
"A.N.JELL","https://www.cifras.com.br/anjell","https://www.e-chords.com/t/f68.gif"
"A.O. Gerber","https://www.cifras.com.br/ao-gerber","https://www.e-chords.com/t/f68.gif"
"A.P. Carter","https://www.cifras.com.br/ap-carter","https://www.e-chords.com/t/f68.gif"
"A.P.C.","https://www.cifras.com.br/apc","https://www.e-chords.com/t/f1.gif"
"A.Q.M.","https://www.cifras.com.br/aqm-","https://www.e-chords.com/t/f27.gif"
"A.R-21","https://www.cifras.com.br/ar-21","https://www.e-chords.com/t/f1.gif"
"A.R.","https://www.cifras.com.br/ar","https://www.e-chords.com/t/f1.gif"
"A.R. Rahman","https://www.cifras.com.br/ar-rahman","https://www.e-chords.com/t/f46.gif"
"A.R.S.","https://www.cifras.com.br/ars","https://www.e-chords.com/t/f1.gif"
"A.U.B.","https://www.cifras.com.br/aub","https://www.e-chords.com/t/f1.gif"
"A1","https://www.cifras.com.br/a1","https://www.e-chords.com/t/f20.gif"
"A3E","https://www.cifras.com.br/a3e","https://www.e-chords.com/t/f1.gif"
"A3hardrock","https://www.cifras.com.br/a3hardrock","https://www.e-chords.com/t/f1.gif"
"a7z xeef","https://www.cifras.com.br/a7z-xeef","https://www.e-chords.com/t/f68.gif"
"Aadar Malik","https://www.cifras.com.br/aadar-malik","https://www.e-chords.com/t/f68.gif"
"Aakon Keetreh","https://www.cifras.com.br/aakon-keetreh","https://www.e-chords.com/t/f68.gif"
"Aaliyah","https://www.cifras.com.br/aaliyah","https://www.e-chords.com/t/f10.gif"
"Aamir Jamal","https://www.cifras.com.br/aamir-jamal","https://www.e-chords.com/t/f46.gif"
"Aarne Tenkanen","https://www.cifras.com.br/aarne-tenkanen","https://www.e-chords.com/t/f19.gif"
"Aaron","https://www.cifras.com.br/aaron","https://www.e-chords.com/t/f5.gif"
"Aaron Bariso","https://www.cifras.com.br/aaron-bariso","https://www.e-chords.com/t/f68.gif"
"Aaron Carter","https://www.cifras.com.br/aaron-carter","https://www.e-chords.com/t/f10.gif"
"Aaron Carter and Kayla Hinkle","https://www.cifras.com.br/aaron-carter-and-kayla-hinkle","https://www.e-chords.com/t/f68.gif"
"Aaron Espe","https://www.cifras.com.br/aaron-espe","https://www.e-chords.com/t/f25.gif"
"Aaron Gillespie","https://www.cifras.com.br/aaron-gillespie","https://www.e-chords.com/t/f10.gif"
"Aaron Goodvin","https://www.cifras.com.br/aaron-goodvin","https://www.e-chords.com/t/f68.gif"
"Aaron Ivey","https://www.cifras.com.br/aaron-ivey","https://www.e-chords.com/t/f68.gif"
"Aaron Jake Goodvin","https://www.cifras.com.br/aaron-jake-goodvin","https://www.e-chords.com/t/f10.gif"
"Aaron Keyes","https://www.cifras.com.br/aaron-keyes","https://www.e-chords.com/t/f25.gif"
"Aaron Lee Tasjan","https://www.cifras.com.br/aaron-lee-tasjan","https://www.e-chords.com/t/f68.gif"
"Aaron Lewis","https://www.cifras.com.br/aaron-lewis","https://www.e-chords.com/t/f10.gif"
"Aaron Lines","https://www.cifras.com.br/aaron-lines","https://www.e-chords.com/t/f10.gif"
"Aaron Lucas","https://www.cifras.com.br/aaron-lucas","https://www.e-chords.com/t/f10.gif"
"Aaron Neville","https://www.cifras.com.br/aaron-neville","https://www.e-chords.com/t/f10.gif"
"Aaron Pelsue","https://www.cifras.com.br/aaron-pelsue","https://www.e-chords.com/t/f25.gif"
"Aaron Pritchett","https://www.cifras.com.br/aaron-pritchett","https://www.e-chords.com/t/f10.gif"
"Aaron Ross","https://www.cifras.com.br/aaron-ross","https://www.e-chords.com/t/f68.gif"
"Aaron Senseman","https://www.cifras.com.br/aaron-senseman","https://www.e-chords.com/t/f10.gif"
"Aaron Shust","https://www.cifras.com.br/aaron-shust","https://www.e-chords.com/t/f10.gif"
"Aaron Smith","https://www.cifras.com.br/aaron-smith","https://www.e-chords.com/t/f68.gif"
"Aaron Spiro","https://www.cifras.com.br/aaron-spiro","https://www.e-chords.com/t/f10.gif"
"Aaron Sprinkle","https://www.cifras.com.br/aaron-sprinkle","https://www.e-chords.com/t/f68.gif"
"Aaron Strumpel","https://www.cifras.com.br/aaron-strumpel","https://www.e-chords.com/t/f68.gif"
"Aaron Taylor","https://www.cifras.com.br/aaron-taylor","https://www.e-chords.com/t/f68.gif"
"Aaron Thea Tippin","https://www.cifras.com.br/aaron-thea-tippin","https://www.e-chords.com/t/f68.gif"
"Aaron Tippin","https://www.cifras.com.br/aaron-tippin","https://www.e-chords.com/t/f10.gif"
"Aaron Traffas Band","https://www.cifras.com.br/aaron-traffas-band","https://www.e-chords.com/t/f10.gif"
"Aaron Watson","https://www.cifras.com.br/aaron-watson","https://www.e-chords.com/t/f10.gif"
"Aaron West And The Roaring Twenties","https://www.cifras.com.br/aaron-west-and-the-roaring-twenties","https://www.e-chords.com/t/f68.gif"
"Aaron y su Grupo Ilusión","https://www.cifras.com.br/aaron-y-su-grupo-ilusion","https://www.e-chords.com/t/f6.gif"
"Aarzemnieki","https://www.cifras.com.br/aarzemnieki","https://www.e-chords.com/t/f68.gif"
"Aashiqui 2","https://www.cifras.com.br/aashiqui-2","https://www.e-chords.com/t/f46.gif"
"Aastha","https://www.cifras.com.br/aastha","https://www.e-chords.com/t/f68.gif"
"AB o Cantor Apaixonado","https://www.cifras.com.br/ab-o-cantor-apaixonado","https://www.e-chords.com/t/f1.gif"
"Ab-soul","https://www.cifras.com.br/ab-soul","https://www.e-chords.com/t/f68.gif"
"Abacaxepa","https://www.cifras.com.br/abacaxepa","https://www.e-chords.com/t/f1.gif"
"Abacaxi Dourado","https://www.cifras.com.br/abacaxi-dourado","https://www.e-chords.com/t/f68.gif"
"Abadengo","https://www.cifras.com.br/abadengo","https://www.e-chords.com/t/f1.gif"
"Abadia Santarém Amorim","https://www.cifras.com.br/abadia-santarem-amorim","https://www.e-chords.com/t/f1.gif"
"Abadon","https://www.cifras.com.br/abadon-","https://www.e-chords.com/t/f60.gif"
"Abandon","https://www.cifras.com.br/abandon","https://www.e-chords.com/t/f10.gif"
"Abandon All Ships","https://www.cifras.com.br/abandon-all-ships","https://www.e-chords.com/t/f68.gif"
"Abandon Kansas","https://www.cifras.com.br/abandon-kansas","https://www.e-chords.com/t/f10.gif"
"Abandoned By Bears","https://www.cifras.com.br/abandoned-by-bears","https://www.e-chords.com/t/f25.gif"
"Abandoned Pools","https://www.cifras.com.br/abandoned-pools","https://www.e-chords.com/t/f68.gif"
"Abandoning Sunday","https://www.cifras.com.br/abandoning-sunday","https://www.e-chords.com/t/f68.gif"
"ABBA","https://www.cifras.com.br/abba","https://www.e-chords.com/t/f15.gif"
"Abba Música","https://www.cifras.com.br/abba-musica","https://www.e-chords.com/t/f1.gif"
"Abba Padre Band","https://www.cifras.com.br/abba-padre-band","https://www.e-chords.com/t/f68.gif"
"Abbade","https://www.cifras.com.br/abbade","https://www.e-chords.com/t/f1.gif"
