artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
Banda Carina,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carina,Brasil
Banda Caruá,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carua,Brasil
Banda Caruá,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carua,Brasil
Banda Caruá,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carua,Brasil
Gabriel Brasil,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gabriel-brasil,Brasil
Gabriel Brasil,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gabriel-brasil,Brasil
B Fachada,Pop Music,19.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/832/83118,146042.jpg",https://www.cifras.com.br/b-fachada,Brasil
A Rainha Dos Paredões,Funk,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/a-rainha-dos-paredoes,Brasil
Baião de Quatro,Reggae,6.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/baiao-de-quatro,Brasil
Eddie,Não Informada,9.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/371/37021,123921.jpg",https://www.cifras.com.br/eddie,Brasil
A 100 Destino,Não Informada,2.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/717/71603,20059.jpg",https://www.cifras.com.br/a-100-destino,Brasil
A 100 Destino,Não Informada,2.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/717/71603,20059.jpg",https://www.cifras.com.br/a-100-destino,Brasil
E.O.J,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eoj,Brasil
D'black e Negra Li,Romântica,1.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/720/71972,60480.jpg",https://www.cifras.com.br/dblack-e-negra-li,Brasil
E.O.J,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eoj,Brasil
