estilo_link,nome,estilo_texto,qnt,Field4,Page_URL,Page_Title,Current_Time
,,,"
				3 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/horrible-histories,Horrible Histories - cifras e tablaturas | CIFRAS,2021-07-26 15:58:20.768
Não Informada,"Youth Club
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/youth-club,Youth Club - cifras e tablaturas | CIFRAS,2021-07-26 15:58:19.909
,,,,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/noctem,Noctem - cifras e tablaturas | CIFRAS,2021-07-26 15:58:20.408
Não Informada,"Curumim
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/curumim,Curumim - cifras e tablaturas | CIFRAS,2021-07-26 15:58:22.376
Espíritas,"Noel & tricia Richards
			","
			Espíritas 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/noel-tricia-richards,Noel & tricia Richards - cifras e tablaturas | CIFRAS,2021-07-26 15:58:23.051
Espíritas,"Noel & tricia Richards
			","
			Espíritas 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/noel-tricia-richards,Noel & tricia Richards - cifras e tablaturas | CIFRAS,2021-07-26 15:58:22.432
Não Informada,"Anna Ratto
			","
			Não Informada 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/anna-ratto,Anna Ratto - cifras e tablaturas | CIFRAS,2021-07-26 15:58:24.602
Diversos,"Cyanogaster
			","
			Diversos 
			
			
				3 músicas
			
			","
				3 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/cyanogaster,Cyanogaster - cifras e tablaturas | CIFRAS,2021-07-26 15:58:24.655
Não Informada,"Horslips
			","
			Não Informada 
			
			
				4 músicas
			
			","
				4 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/horslips,Horslips - cifras e tablaturas | CIFRAS,2021-07-26 15:58:24.989
Espíritas,"Noemi Ponte
			","
			Gospel 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/noemi-ponte,Noemi Ponte - cifras e tablaturas | CIFRAS,2021-07-26 15:58:24.649
Não Informada,"Fother Muckers
			","
			Não Informada 
			
			
				5 músicas
			
			","
				5 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fother-muckers,Fother Muckers - cifras e tablaturas | CIFRAS,2021-07-26 15:58:26.484
Diversos,"Full Metal Panic Fumoffu
			","
			Diversos 
			
			
				2 músicas
			
			","
				2 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/120/11998,198895.jpg",https://www.cifras.com.br/full-metal-panic-fumoffu,Full Metal Panic Fumoffu - cifras e tablaturas | CIFRAS,2021-07-26 15:58:27.496
Não Informada,"Diego Mates
			","
			Não Informada 
			
			
				4 músicas
			
			","
				4 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/diego-mates,Diego Mates - cifras e tablaturas | CIFRAS,2021-07-26 15:58:26.831
Diversos,"Full Metal Panic Fumoffu
			","
			Diversos 
			
			
				2 músicas
			
			","
				2 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/120/11998,198895.jpg",https://www.cifras.com.br/full-metal-panic-fumoffu,Full Metal Panic Fumoffu - cifras e tablaturas | CIFRAS,2021-07-26 15:58:26.969
Não Informada,"Fother Muckers
			","
			Não Informada 
			
			
				5 músicas
			
			","
				5 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fother-muckers,Fother Muckers - cifras e tablaturas | CIFRAS,2021-07-26 15:58:26.971
Diversos,"Full Metal Panic Fumoffu
			","
			Diversos 
			
			
				2 músicas
			
			","
				2 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/120/11998,198895.jpg",https://www.cifras.com.br/full-metal-panic-fumoffu,Full Metal Panic Fumoffu - cifras e tablaturas | CIFRAS,2021-07-26 15:58:28.292
Diversos,,"
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/ro,Rô - cifras e tablaturas | CIFRAS,2021-07-26 15:58:29.896
Não Informada,"Four Get Me A Nots
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/four-get-me-a-nots,Four Get Me A Nots - cifras e tablaturas | CIFRAS,2021-07-26 15:58:29.761
,,,,,https://www.cifras.com.br/francesco-renga,Francesco Renga - cifras e tablaturas | CIFRAS,2021-07-26 15:58:30.123
