"Title","Website","Address"
"Chingkrank Holiday","https://www.cifras.com.br/chingkrank-holiday","https://www.e-chords.com/t/f68.gif"
"Chingón","https://www.cifras.com.br/chingon","https://www.e-chords.com/t/f6.gif"
"Amarildo e Alexandre","https://www.cifras.com.br/amarildo-e-alexandre","https://www.e-chords.com/t/f1.gif"
"Chininha e Príncipe","https://www.cifras.com.br/chininha-e-principe","https://www.e-chords.com/t/f1.gif"
"Chino McGregor","https://www.cifras.com.br/chino-mcgregor","https://www.e-chords.com/t/f68.gif"
"Chiodos","https://www.cifras.com.br/chiodos","https://www.e-chords.com/t/f10.gif"
"Chiquititas","https://www.cifras.com.br/chiquititas","https://www.e-chords.com/t/f1.gif"
"Chirs Montez","https://www.cifras.com.br/chirs-montez","https://www.e-chords.com/t/f10.gif"
"Chino y Nacho","https://www.cifras.com.br/chino-y-nacho","https://www.e-chords.com/t/f40.gif"
"Chinoy","https://www.cifras.com.br/chinoy","https://www.e-chords.com/t/f18.gif"
"Chip Richter","https://www.cifras.com.br/chip-richter","https://www.e-chords.com/t/f68.gif"
"Chipote","https://www.cifras.com.br/chipote","https://www.e-chords.com/t/f68.gif"
"Amaro Batista","https://www.cifras.com.br/amaro-batista","https://www.e-chords.com/t/f1.gif"
"Amarildo Mesquita","https://www.cifras.com.br/amarildo-mesquita","https://www.e-chords.com/t/f1.gif"
"Chiquito e Bordoneio","https://www.cifras.com.br/chiquito-e-bordoneio-","https://www.e-chords.com/t/f1.gif"
"Chips And Moscow","https://www.cifras.com.br/chips-and-moscow","https://www.e-chords.com/t/f1.gif"
"Chiquinha Gonzaga","https://www.cifras.com.br/chiquinha-gonzaga","https://www.e-chords.com/t/f1.gif"
"Chiquinho Dos Teclados","https://www.cifras.com.br/chiquinho-dos-teclados","https://www.e-chords.com/t/f1.gif"
"Chirkut","https://www.cifras.com.br/chirkut","https://www.e-chords.com/t/f68.gif"
"Chiquito e Grupo Bordoneio","https://www.cifras.com.br/chiquito-e-grupo-bordoneio","https://www.e-chords.com/t/f1.gif"
"Chlopcy Z Placu Broni","https://www.cifras.com.br/chlopcy-z-placu-broni","https://www.e-chords.com/t/f68.gif"
"Chisu","https://www.cifras.com.br/chisu","https://www.e-chords.com/t/f19.gif"
"Chitãozinho & Xororó","https://www.cifras.com.br/chitaozinho-xororo","https://www.e-chords.com/t/f1.gif"
"Chocolate da Bahia","https://www.cifras.com.br/chocolate-da-bahia","https://www.e-chords.com/t/f1.gif"
"Chris & Taylor","https://www.cifras.com.br/chris-taylor","https://www.e-chords.com/t/f68.gif"
"Choir Of Young Believers","https://www.cifras.com.br/choir-of-young-believers","https://www.e-chords.com/t/f30.gif"
"Choldra","https://www.cifras.com.br/choldra","https://www.e-chords.com/t/f1.gif"
"Choucho","https://www.cifras.com.br/choucho","https://www.e-chords.com/t/f68.gif"
"Chocolate Sensual","https://www.cifras.com.br/chocolate-sensual","https://www.e-chords.com/t/f1.gif"
"Chispita","https://www.cifras.com.br/chispita","https://www.e-chords.com/t/f1.gif"
"Chon","https://www.cifras.com.br/chon","https://www.e-chords.com/t/f68.gif"
"Chord Overstreet","https://www.cifras.com.br/chord-overstreet","https://www.e-chords.com/t/f68.gif"
"Amaro Lima","https://www.cifras.com.br/amaro-lima","https://www.e-chords.com/t/f1.gif"
"Chloe Adams","https://www.cifras.com.br/chloe-adams","https://www.e-chords.com/t/f68.gif"
"Chloe George","https://www.cifras.com.br/chloe-george","https://www.e-chords.com/t/f68.gif"
"Chokus","https://www.cifras.com.br/chokus","https://www.e-chords.com/t/f1.gif"
"Chordotomy","https://www.cifras.com.br/chordotomy","https://www.e-chords.com/t/f68.gif"
"Chris and Conrad","https://www.cifras.com.br/chris-and-conrad","https://www.e-chords.com/t/f10.gif"
"Amaro Ferreiro","https://www.cifras.com.br/amaro-ferreiro","https://www.e-chords.com/t/f68.gif"
"Chitãozinho e Chororo","https://www.cifras.com.br/chitaozinho-e-chororo","https://www.e-chords.com/t/f68.gif"
"Chocolate Branco","https://www.cifras.com.br/chocolate-branco","https://www.e-chords.com/t/f1.gif"
"Chokebore","https://www.cifras.com.br/chokebore","https://www.e-chords.com/t/f10.gif"
"Choque de Cultura","https://www.cifras.com.br/choque-de-cultura","https://www.e-chords.com/t/f1.gif"
