"Title","Website","Time"
"B Fachada","https://www.cifras.com.br/b-fachada","https://www.e-chords.com/t/f1.gif"
"A","https://www.cifras.com.br/a","https://www.e-chords.com/t/f68.gif"
"B Praak","https://www.cifras.com.br/b-praak","https://www.e-chords.com/t/f68.gif"
"A 100 Destino","https://www.cifras.com.br/a-100-destino","https://www.e-chords.com/t/f1.gif"
"D'black e Negra Li","https://www.cifras.com.br/dblack-e-negra-li","https://www.e-chords.com/t/f1.gif"
"D.H.T.","https://www.cifras.com.br/dht","https://www.e-chords.com/t/f10.gif"
"B. Robson Rodovalho","https://www.cifras.com.br/b-robson-rodovalho","https://www.e-chords.com/t/f1.gif"
"B.E.H.","https://www.cifras.com.br/beh","https://www.e-chords.com/t/f1.gif"
"Da Melhor Qualidade","https://www.cifras.com.br/da-melhor-qualidade","https://www.e-chords.com/t/f1.gif"
"B-52","https://www.cifras.com.br/b-52","https://www.e-chords.com/t/f10.gif"
"B-brave","https://www.cifras.com.br/b-brave","https://www.e-chords.com/t/f68.gif"
"D'Masiv","https://www.cifras.com.br/dmasiv","https://www.e-chords.com/t/f48.gif"
"D:Projekt","https://www.cifras.com.br/dprojekt","https://www.e-chords.com/t/f7.gif"
"D'zrt","https://www.cifras.com.br/dzrt","https://www.e-chords.com/t/f1.gif"
"B.I.G (Boys In Groove)","https://www.cifras.com.br/big-boys-in-groove","https://www.e-chords.com/t/f68.gif"
"D$ Luqi","https://www.cifras.com.br/d$-luqi","https://www.e-chords.com/t/f1.gif"
"Da Cor do Prazer","https://www.cifras.com.br/da-cor-do-prazer","https://www.e-chords.com/t/f1.gif"
"B.J.Thomas","https://www.cifras.com.br/bjthomas","https://www.e-chords.com/t/f10.gif"
"B1a4","https://www.cifras.com.br/b1a4","https://www.e-chords.com/t/f68.gif"
"D-Mente","https://www.cifras.com.br/d-mente","https://www.e-chords.com/t/f25.gif"
"D4L","https://www.cifras.com.br/d4l","https://www.e-chords.com/t/f10.gif"
"D Generation","https://www.cifras.com.br/d-generation","https://www.e-chords.com/t/f10.gif"
"D Karvalho","https://www.cifras.com.br/d-karvalho","https://www.e-chords.com/t/f1.gif"
"B*Witched","https://www.cifras.com.br/b*witched","https://www.e-chords.com/t/f10.gif"
"D.I.D","https://www.cifras.com.br/did","https://www.e-chords.com/t/f68.gif"
"D.O.A.","https://www.cifras.com.br/doa","https://www.e-chords.com/t/f68.gif"
"D12","https://www.cifras.com.br/d12","https://www.e-chords.com/t/f10.gif"
"B.Wiliam Nascimento","https://www.cifras.com.br/bwiliam-nascimento","https://www.e-chords.com/t/f1.gif"
"B2K","https://www.cifras.com.br/b2k","https://www.e-chords.com/t/f10.gif"
"D'Angelo","https://www.cifras.com.br/dangelo","https://www.e-chords.com/t/f68.gif"
"B.E.R","https://www.cifras.com.br/ber","https://www.e-chords.com/t/f10.gif"
"B. J. Thomas","https://www.cifras.com.br/b-j-thomas","https://www.e-chords.com/t/f10.gif"
"B.B. King","https://www.cifras.com.br/bb-king","https://www.e-chords.com/t/f10.gif"
"B.W. Stevenson","https://www.cifras.com.br/bw-stevenson","https://www.e-chords.com/t/f68.gif"
"D'Black","https://www.cifras.com.br/dblack","https://www.e-chords.com/t/f1.gif"
"B.A.P (K-pop)","https://www.cifras.com.br/bap-(k-pop)","https://www.e-chords.com/t/f68.gif"
"D'Bagindas","https://www.cifras.com.br/dbagindas","https://www.e-chords.com/t/f48.gif"
"D'Lay","https://www.cifras.com.br/dlay","https://www.e-chords.com/t/f10.gif"
"B.T.R.","https://www.cifras.com.br/btr","https://www.e-chords.com/t/f10.gif"
"D'espairsRay","https://www.cifras.com.br/despairsray","https://www.e-chords.com/t/f9.gif"
"D-Zero","https://www.cifras.com.br/d-zero","https://www.e-chords.com/t/f22.gif"
"D.Gray-Man","https://www.cifras.com.br/dgray-man","https://www.e-chords.com/t/f68.gif"
"B.A.H.","https://www.cifras.com.br/bah","https://www.e-chords.com/t/f1.gif"
"D-Covering","https://www.cifras.com.br/d-covering","https://www.e-chords.com/t/f1.gif"
"D.A.D.","https://www.cifras.com.br/dad","https://www.e-chords.com/t/f30.gif"
"D.A.M.A","https://www.cifras.com.br/dama","https://www.e-chords.com/t/f11.gif"
"B.A.P","https://www.cifras.com.br/bap","https://www.e-chords.com/t/f66.gif"
"B.J. Thomas","https://www.cifras.com.br/bj-thomas","https://www.e-chords.com/t/f68.gif"
"B.o.B","https://www.cifras.com.br/bob","https://www.e-chords.com/t/f68.gif"
"A Banca","https://www.cifras.com.br/a-banca","https://www.e-chords.com/t/f1.gif"
"D.R.A.M.","https://www.cifras.com.br/dram","https://www.e-chords.com/t/f10.gif"
"B&B","https://www.cifras.com.br/b-b","https://www.e-chords.com/t/f1.gif"
"B.O.B.","https://www.cifras.com.br/bob","https://www.e-chords.com/t/f10.gif"
"D.R.I.","https://www.cifras.com.br/dri","https://www.e-chords.com/t/f68.gif"
"D At Sea","https://www.cifras.com.br/d-at-sea","https://www.e-chords.com/t/f10.gif"
"D Imman","https://www.cifras.com.br/d-imman","https://www.e-chords.com/t/f68.gif"
"Da Cor Do Pagode","https://www.cifras.com.br/da-cor-do-pagode","https://www.e-chords.com/t/f1.gif"
"Da Huawa Da Meier Und I","https://www.cifras.com.br/da-huawa-da-meier-und-i","https://www.e-chords.com/t/f68.gif"
"B Story","https://www.cifras.com.br/b-story","https://www.e-chords.com/t/f68.gif"
"B.O.F.E.S.","https://www.cifras.com.br/bofes","https://www.e-chords.com/t/f1.gif"
"A Balladeer","https://www.cifras.com.br/a-balladeer","https://www.e-chords.com/t/f53.gif"
"A Banda Delas","https://www.cifras.com.br/a-banda-delas","https://www.e-chords.com/t/f1.gif"
"Baby","https://www.cifras.com.br/baby","https://www.e-chords.com/t/f1.gif"
"Baby Rasta y Gringo","https://www.cifras.com.br/baby-rasta-y-gringo","https://www.e-chords.com/t/f3.gif"
"Bach Cover","https://www.cifras.com.br/bach-cover","https://www.e-chords.com/t/f10.gif"
"Dáblio Vasconcelos","https://www.cifras.com.br/dablio-vasconcelos","https://www.e-chords.com/t/f1.gif"
"Dagmar Dümchen","https://www.cifras.com.br/dagmar-dumchen","https://www.e-chords.com/t/f68.gif"
"Dagobert","https://www.cifras.com.br/dagobert","https://www.e-chords.com/t/f25.gif"
"Dai Neres","https://www.cifras.com.br/dai-neres","https://www.e-chords.com/t/f1.gif"
"Babet","https://www.cifras.com.br/babet","https://www.e-chords.com/t/f68.gif"
"Baby Strange","https://www.cifras.com.br/baby-strange","https://www.e-chords.com/t/f68.gif"
"Da Vinci","https://www.cifras.com.br/da-vinci","https://www.e-chords.com/t/f1.gif"
"DaBaby","https://www.cifras.com.br/dababy","https://www.e-chords.com/t/f10.gif"
"Dada Yute","https://www.cifras.com.br/dada-yute","https://www.e-chords.com/t/f1.gif"
"Daddy Dj","https://www.cifras.com.br/daddy-dj","https://www.e-chords.com/t/f10.gif"
"Dads","https://www.cifras.com.br/dads","https://www.e-chords.com/t/f68.gif"
"Dagoba","https://www.cifras.com.br/dagoba","https://www.e-chords.com/t/f68.gif"
"Babal","https://www.cifras.com.br/babal","https://www.e-chords.com/t/f1.gif"
"Bacamarte","https://www.cifras.com.br/bacamarte","https://www.e-chords.com/t/f1.gif"
"Baciary","https://www.cifras.com.br/baciary","https://www.e-chords.com/t/f68.gif"
"Daddy Issues","https://www.cifras.com.br/daddy-issues","https://www.e-chords.com/t/f68.gif"
"B2ST","https://www.cifras.com.br/b2st","https://www.e-chords.com/t/f66.gif"
"Baba Cósmica","https://www.cifras.com.br/baba-cosmica","https://www.e-chords.com/t/f1.gif"
"A Banda da Zefinha","https://www.cifras.com.br/a-banda-da-zefinha","https://www.e-chords.com/t/f1.gif"
"Babi Jaques e Os Sicilianos","https://www.cifras.com.br/babi-jaques-e-os-sicilianos","https://www.e-chords.com/t/f1.gif"
