,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",5078475,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
2,"Investe Em Mim","Jonas Esticado",4869478,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
3,"Oh Juliana",Niack,4382691,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
4,"Só Você","MC Rogerinho",3848066,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
5,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",3497764,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
6,"Quero Você do Jeito Que Quiser","Marília Mendonça",3415062,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
7,"Tá Rocheda","Os Barões Da Pisadinha",3299973,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
8,"Me Gusta (with Cardi B & Myke Towers)",Anitta,3192503,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
9,"Sogra - Ao Vivo",Dilsinho,3167044,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
10,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",3158963,https://open.spotify.com/track/3AV1KI22k1jGMz792lDrj1
11,"Comprei um Lança","Mc Jacaré",3131445,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
12,"Figurinha - Ao Vivo","Douglas & Vinicius",3127385,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
13,"Café e Amor - Ao Vivo","Gusttavo Lima",3065164,https://open.spotify.com/track/7benotyTvLY2vUsDKtxbiA
14,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2963941,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
15,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2851504,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
16,"Nem Doeu - Ao Vivo","Matheus & Kauan",2786362,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
17,"Vai Ter Que Aguentar","Mc Don Juan",2782285,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
18,Ranking,"Jorge & Mateus",2761892,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
19,"Desce Pro Play (PA PA PA)","Mc Zaac",2601188,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
20,"Cidade Inteira","Eric Land",2564679,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
21,"Máquina do Tempo",Matuê,2403553,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
22,"Briga Feia - Ao Vivo","Henrique & Juliano",2378681,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
23,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",2369620,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
24,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",2363111,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
25,"S de Saudade","Luíza & Maurílio",2224504,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
26,"Desejando Eu (Ao Vivo)","Murilo Huff",2206888,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
27,"Na Raba Toma Tapão",Niack,2196993,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
28,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",2160404,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
