,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bipolar,"Mc Davi",5687146,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
2,"Volta Bebê, Volta Neném","Dj Guuga",5326579,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
3,"Baby Me Atende","Matheus Fernandes",5080667,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
4,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",4889125,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
5,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",4528860,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
6,"Não Nasceu pra Namorar","MC Zaquin",4434394,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
7,Troca,"Jorge & Mateus",4263296,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
8,"Vida Louca","Mc Poze do Rodo",4257225,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
9,"Só Não Divulga","Fernando & Sorocaba",4169572,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
10,"Não, Não Vou","Mari Fernandez",4117581,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
11,"Ficha Limpa","Gusttavo Lima",4081384,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
12,"Tipo Gin - Ao Vivo","MC Kevin o Chris",4026917,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
13,"good 4 u","Olivia Rodrigo",3677750,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
14,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",3526896,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
15,ATENÇÃO,"PEDRO SAMPAIO",3466194,https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED
16,"Disco Arranhado - Funk Remix",Malu,3436582,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
17,"Meu Pedaço de Pecado","João Gomes",3387591,https://open.spotify.com/track/7mz8C0h5Lug50qYq6KH0wp
18,"Liberdade (Quando o Grave Bate Forte)",Alok,3300856,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
19,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",3215201,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
20,Passatempo,"Wesley Safadão",3206895,https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9
21,Paradigmas,"Jorge & Mateus",3076878,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
22,"Tapão Na Raba","Raí Saia Rodada",2957543,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
23,"Ele É Ele, Eu Sou Eu","Wesley Safadão",2932366,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
24,"Facas - Ao Vivo","Diego & Victor Hugo",2896279,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
25,"Volta Comigo BB","Zé Vaqueiro",2774972,https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc
26,"Preta do Cabelo Cacheado","Th CDM",2634315,https://open.spotify.com/track/73x4PDzlTdJkAa8GtjnUs0
27,"Ela é Espetacular (Mulher Kama Sutra 2)","Mc Livinho",2547913,https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
28,"É Problema","Matheus & Kauan",2543490,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
29,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",2451071,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
30,"Pingo de Dó - Ao Vivo","Hugo & Guilherme",2361789,https://open.spotify.com/track/1a17gIb57XhPj2CMbqYABw
31,Morena,NATTAN,2324509,https://open.spotify.com/track/6zsEKAZZulmsl1Qlw5G3EX
32,"Vou falar que não quero","Vitor Fernandes",2317501,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
33,"MONTERO (Call Me By Your Name)","Lil Nas X",2313356,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
34,Plutão,VMZ,2311893,https://open.spotify.com/track/3ydmNkAyYq0AKtG8sTfE9P
35,MORENA,"Luan Santana",2310333,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
36,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",2206967,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
37,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",2137890,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
38,"Troca de Calçada","Marília Mendonça",2100350,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
39,"Foi Pá Pum","Simone & Simaria",2096622,https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV
40,Acaso,"Vitor Fernandes",2080645,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
41,"deja vu","Olivia Rodrigo",2003818,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
42,"Não Pode Se Apaixonar","Xand Avião",2002838,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
43,"Deixa de Onda (Porra Nenhuma)",DENNIS,1946122,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
44,"Ô Moça","MC Zaquin",1892822,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
45,"Último Beijo","Bruno & Marrone",1877397,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
46,"Desbloqueado - Ao Vivo","Diego & Victor Hugo",1841696,https://open.spotify.com/track/66HWIQEq6xO0IZ47AHrybG
47,Vagabundo,"Matheus & Kauan",1831494,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
48,traitor,"Olivia Rodrigo",1800180,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
49,"Freio da Blazer",L7NNON,1735204,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
50,"favorite crime","Olivia Rodrigo",1714471,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
51,"Aquelas Coisas","João Gomes",1688203,https://open.spotify.com/track/6sahduZe4u8569HG7mcs2r
52,"drivers license","Olivia Rodrigo",1608537,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
53,"Ele Não Tem","Jonas Esticado",1605161,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
54,Sigilo,"Guilherme & Benuto",1583150,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
55,"Localiza Aí BB","Vitor e Luan",1575539,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
56,"Poesia Acústica 11: Nada Mudou","Pineapple StormTv",1573960,https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E
57,"Cadê o Amor","Zé Vaqueiro",1481517,https://open.spotify.com/track/1EHFiKkrppC5kXImn8LFBr
58,"FALA MAL DE MIM","PEDRO SAMPAIO",1465397,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
59,"Esqueceu Foi Porra","Eric Land",1452021,https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9
60,"Baile do Cinga do 12","MC Gontijo",1436071,https://open.spotify.com/track/2uLt06E9xCZVPFXg9v794o
61,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",1414057,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
62,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1406819,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
63,M4,Teto,1379142,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
64,"Corte Americano","Filipe Ret",1377947,https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh
