Position,"Track Name",Artist,URL
1,"Na Raba Toma Tapão",Niack,https://open.spotify.com/track/57zQSScHq19ztrMnjWCPBI
2,"Bactéria #FDP","MC Rayban",https://open.spotify.com/track/3dkSm0zaZk0uucIBvEkVbq
3,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
4,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
5,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
6,"Vergonha pra Midia","Salvador Da Rima",https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J
7,"THE SCOTTS","THE SCOTTS",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
8,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
9,,,https://open.spotify.com/track/60pysSgEslc7i5blU5zZbS
10,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
11,"O Amor Que Tu Perdeu",Mila,https://open.spotify.com/track/3VQF7gLCASQQ3lQkOnFBhz
12,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
13,"Pausa #omundoprecisadepausa",Vicka,https://open.spotify.com/track/14t2jBUMu8OdZyQJQKIf25
14,"Noite das Safadas","Mc Thay RJ",https://open.spotify.com/track/7MzrIZwgEyxTR80QLrzqvm
15,"áudio de desculpas","Manu Gavassi",https://open.spotify.com/track/1JP3iGUerYKKYQwXGQGYks
16,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
17,Cabaré,"Dj Guuga",https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D
18,"(não) era amor","GIULIA BE",https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi
19,"Megafunk Da Maconha","DJ Ari SL",https://open.spotify.com/track/0nyMLOJTCpepnV2XCQpFQI
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,"Dead Horse","Hayley Williams",https://open.spotify.com/track/5RdkyZw1KQ1v0EbquUAsx2
22,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
23,"Tudo Aconteceu","MC Du Black",https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
24,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
25,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
26,"Don't Rush (feat. Headie One)","Young T & Bugsey",https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
27,"Me conta da tua janela",ANAVITÓRIA,https://open.spotify.com/track/6oEwV0l34zhnC7OmAqmHjY
28,"Rap Dos Coringas: Circo Dos Horrores (Nerd Hits)","7 Minutoz",https://open.spotify.com/track/3j4bPNymMeOJOw0WXhc9FU
29,"Eu Achei","MC Paulin da Capital",https://open.spotify.com/track/3HWQavBFtwAaXLFdlrc0Ok
30,Descansa,"Stella Laura",https://open.spotify.com/track/0Bnw65tRDwjAX1vwVcPkk6
31,"Stay Tonight","CHUNG HA",https://open.spotify.com/track/3As0OA5B06BxLfADvYyG8L
32,"Toosie Slide",Drake,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
33,BRABA,"Luísa Sonza",https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
34,"Vai Luan, Rainha dos Faixa Preta","Mc Brunyn",https://open.spotify.com/track/2epD7jzjNfrQYxdSaODCvF
35,claws,"Charli XCX",https://open.spotify.com/track/7Dexi5Z2IowCkHrnzlWysc
36,"Já Te Amei (170 Bpm) - Remix","MC Senna",https://open.spotify.com/track/1ljWurj1F8YQ5lqLYXyR4H
37,"I Like Him","Princess Nokia",https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
38,"Eu Nunca, Eu Já",Angel,https://open.spotify.com/track/713FZqPzolEH3OP2lzQP78
39,"Libera Ela - Ao Vivo","Maiara & Maraisa",https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql
40,Dumhdurum,Apink,https://open.spotify.com/track/2ljLbFotsy2hFxAkjpsfbb
41,LMK,"Lil Xxel",https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB
42,Glockada,"NGC Daddy",https://open.spotify.com/track/4f3e6HRUIu5Ub2mcwu8god
43,"Amor de Fim de Noite",Orochi,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
44,"Primeira Vez",Clau,https://open.spotify.com/track/1AlHn9GTOYVrY21RaHGyDG
45,"Pipa Voada (feat. Emicida)",Rashid,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi
46,"Recairei - Ao Vivo","Os Barões Da Pisadinha",https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
47,"Sweet Night",V,https://open.spotify.com/track/39EXZNMxb4RBHlRjnRaOKp
48,"Hear Me Tonight",Alok,https://open.spotify.com/track/0v8OKUrqZGoEbgEUXScRSQ
49,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
50,"Meu Caminho","Aya Oficial",https://open.spotify.com/track/3z0OvT2vQ8WvpjP5uJQgjW
