Position,Track Name,Artist,URL,Subject,Date
1,Crlh Tú Conhece a Paola (feat. DJ Ld de Nova Iguaçu & Jota),MC VN do B13,https://open.spotify.com/track/4dFPR4ivt22Wy4OsNh1nVi,viral 50,weekly-2020-01-02--2020-01-02.csv
2,Zé Guaritinha,Garena Free Fire,https://open.spotify.com/track/7ITDYGjB88rAPYW52mn9Js,viral 50,weekly-2020-01-02--2020-01-02.csv
3,Liberdade Provisória,Henrique & Juliano,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,viral 50,weekly-2020-01-02--2020-01-02.csv
4,Vem Me Satisfazer,MC Ingryd,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,viral 50,weekly-2020-01-02--2020-01-02.csv
5,SENTADÃO,PEDRO SAMPAIO,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,viral 50,weekly-2020-01-02--2020-01-02.csv
6,Hoje é Sexo na Rave,MC TGR,https://open.spotify.com/track/70szG0JecmRmo0pBbnMa2X,viral 50,weekly-2020-01-02--2020-01-02.csv
7,To Voando Alto,Mc Poze do Rodo,https://open.spotify.com/track/7HLU2aJTAQfSIgJ2dMASsP,viral 50,weekly-2020-01-02--2020-01-02.csv
8,Tudo Ok,Thiaguinho MT,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,viral 50,weekly-2020-01-02--2020-01-02.csv
9,Sou Vitorioso,Mc Lele JP,https://open.spotify.com/track/37hCsK2djczyRGWMjqzbxD,viral 50,weekly-2020-01-02--2020-01-02.csv
10,Sequencia de Vapo Vapo,Yuri e Will,https://open.spotify.com/track/192SKSlgZAJGeyATj5eHL2,viral 50,weekly-2020-01-02--2020-01-02.csv
11,Berimbau Automotivo: Toma Sequência de Tapa na Cara,MC Marlon PH,https://open.spotify.com/track/7lVVjCI15ZUMbcDjUNoB4m,viral 50,weekly-2020-01-02--2020-01-02.csv
12,Com ou Sem Mim - Ao Vivo,Gustavo Mioto,https://open.spotify.com/track/2BU6XXSG8SqiptRuj6EiLA,viral 50,weekly-2020-01-02--2020-01-02.csv
13,Adeus Ano Velho,Laerte Marques,https://open.spotify.com/track/0k4nJYNwYbzOL2jyqlQQFt,viral 50,weekly-2020-01-02--2020-01-02.csv
14,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,viral 50,weekly-2020-01-02--2020-01-02.csv
15,Vem Me Satisfazer - Remix Brega Funk,DJ Pernambuco,https://open.spotify.com/track/44vL4gXYJk3ypGKQ0qowRM,viral 50,weekly-2020-01-02--2020-01-02.csv
16,Verdinha,LUDMILLA,https://open.spotify.com/track/2RMOwSvOGQyy985Vx4VSGQ,viral 50,weekly-2020-01-02--2020-01-02.csv
17,De 38 Carregado,Dj Ray Lais,https://open.spotify.com/track/6BfoE1BkJKPEVYFGYm6g95,viral 50,weekly-2020-01-02--2020-01-02.csv
18,Combatchy (feat. MC Rebecca),Anitta,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw,viral 50,weekly-2020-01-02--2020-01-02.csv
19,Gangue do Consciente,Dj Bueno,https://open.spotify.com/track/7fmkF1oEPTpfqEEV4erZ6V,viral 50,weekly-2020-01-02--2020-01-02.csv
20,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,viral 50,weekly-2020-01-02--2020-01-02.csv
21,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe,viral 50,weekly-2020-01-02--2020-01-02.csv
22,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,viral 50,weekly-2020-01-02--2020-01-02.csv
23,S de Saudade,Luíza & Maurílio,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL,viral 50,weekly-2020-01-02--2020-01-02.csv
24,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,viral 50,weekly-2020-01-02--2020-01-02.csv
25,menina solta,GIULIA BE,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1,viral 50,weekly-2020-01-02--2020-01-02.csv
26,Surtada - Remix Brega Funk,Dadá Boladão,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,viral 50,weekly-2020-01-02--2020-01-02.csv
27,Virgem,MC Lya,https://open.spotify.com/track/0DwzQguiWvB8jJonQ5ewJu,viral 50,weekly-2020-01-02--2020-01-02.csv
28,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,viral 50,weekly-2020-01-02--2020-01-02.csv
29,Pagou De Superada,Mc Anônimo,https://open.spotify.com/track/3GSGW5pQhHKBmmQLebX3vx,viral 50,weekly-2020-01-02--2020-01-02.csv
30,Vê Se Não Me Esquece Mais,Lucas Laypold,https://open.spotify.com/track/6Cm9ESWYCTs5eCqLzsRFgW,viral 50,weekly-2020-01-02--2020-01-02.csv
31,"Mil Anos - Recorded At Mosh Studios, São Paulo",Jorge & Mateus,https://open.spotify.com/track/4UUtssVRs2aQTLQCAAtZg1,viral 50,weekly-2020-01-02--2020-01-02.csv
32,Amor de Que,Pabllo Vittar,https://open.spotify.com/track/7yYsyXQa2JgbyL9fkEiUNt,viral 50,weekly-2020-01-02--2020-01-02.csv
33,"Kika uma Vez, Kika de Novo",MC PR,https://open.spotify.com/track/7eBlxjcmTe4H7fVRBXXzFI,viral 50,weekly-2020-01-02--2020-01-02.csv
34,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,viral 50,weekly-2020-01-02--2020-01-02.csv
35,Baila Conmigo (feat. Kelly Ruiz),Dayvi,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,viral 50,weekly-2020-01-02--2020-01-02.csv
36,Sabotei - BregaFunk Remix,Mano Cheffe,https://open.spotify.com/track/0m60DAge9A49s3VBquB45k,viral 50,weekly-2020-01-02--2020-01-02.csv
37,Cheirosa - Ao Vivo,Jorge & Mateus,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,viral 50,weekly-2020-01-02--2020-01-02.csv
38,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO,viral 50,weekly-2020-01-02--2020-01-02.csv
39,Morena,Pezão,https://open.spotify.com/track/3fWhwTdoZXScaoGReWzvtv,viral 50,weekly-2020-01-02--2020-01-02.csv
40,Não Me Sinto Mal Mais,Sidoka,https://open.spotify.com/track/563yuGweEqRVQtjfsDVRyK,viral 50,weekly-2020-01-02--2020-01-02.csv
41,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,viral 50,weekly-2020-01-02--2020-01-02.csv
42,Cigana,Malibu,https://open.spotify.com/track/2GBwxkBpmhs9UoDxsBeP4a,viral 50,weekly-2020-01-02--2020-01-02.csv
43,Mochila nas Costas / Empurra Empurra,DJ Felipe Único,https://open.spotify.com/track/49N07rRWNp03L2HPCogaF0,viral 50,weekly-2020-01-02--2020-01-02.csv
44,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,viral 50,weekly-2020-01-02--2020-01-02.csv
45,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,viral 50,weekly-2020-01-02--2020-01-02.csv
46,Romance Proibido - Ao Vivo,MC Kevin o Chris,https://open.spotify.com/track/2UxeBJPanPvF3Q2xH6zkbC,viral 50,weekly-2020-01-02--2020-01-02.csv
47,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,viral 50,weekly-2020-01-02--2020-01-02.csv
48,Bebe Vem Me Procurar - Ao Vivo,Algo Mais,https://open.spotify.com/track/53rhcdGwtIXRIAfaPy0myh,viral 50,weekly-2020-01-02--2020-01-02.csv
49,Some que ele vem atrás,Anitta,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5,viral 50,weekly-2020-01-02--2020-01-02.csv
50,Deixa os Moleques Voar,DJ RD,https://open.spotify.com/track/5be9lwGEGZKqLvH93XtlO0,viral 50,weekly-2020-01-02--2020-01-02.csv
